idcarrera,idcohorte,linea_formativa,propuesta,carrera,carrera_siglas,tipo,cohorte,cohorte_anio,anio,idsede,ifda,ifda_siglas,departamento,iddepartamento,inscriptos,matriculados_aceptados,aprobados_mi,inician_cursada_seminario,cursantes_t3,cursando_hoy,egresados_intermedio,egresados,aprobados_1er_uc,tiene_egresados,tiene_egresados_inter,vigencia_prop,activos_RAI,aprobados_sem
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2022,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2021,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2020,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2019,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2018,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2017,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,27,0,0,22,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2018,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2017,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,11,0,0,5,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,22,13,11,0,11,0,0,0,11,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,57,31,28,0,28,0,0,0,28,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2018,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,32,0,0,10,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2020,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,5,0,0,4,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2019,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,4,0,0,3,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2017,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,85,0,0,28,0,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,194,119,96,0,96,0,0,0,96,1,0,Si,NULL,NULL
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,septiembre 2016,2016,2016,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,24,12,10,0,10,0,0,0,10,1,0,Si,NULL,NULL
2,2,Formación de docentes en el área de medios y tecnologías,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,PROGRAMACION,Trayecto,septiembre 2016,2016,2019,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,8,0,0,7,0,1,0,Si,NULL,NULL
2,2,Formación de docentes en el área de medios y tecnologías,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,PROGRAMACION,Trayecto,septiembre 2016,2016,2018,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,66,0,0,47,0,1,0,Si,NULL,NULL
2,2,Formación de docentes en el área de medios y tecnologías,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,PROGRAMACION,Trayecto,septiembre 2016,2016,2017,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,91,0,0,0,0,1,0,Si,NULL,NULL
2,2,Formación de docentes en el área de medios y tecnologías,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,Especialización Docente de Nivel Superior en Enseñanza de la Programación en Informática,PROGRAMACION,Trayecto,septiembre 2016,2016,2016,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,146,146,110,0,109,0,0,0,110,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,22,22,7,0,7,0,0,4,7,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,22,22,9,0,9,0,0,5,9,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,25,25,7,0,7,0,0,2,7,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,389,389,173,0,174,0,0,108,173,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,76,76,31,0,31,0,0,17,31,1,0,Si,NULL,NULL
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,abril 2016,2016,2016,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,68,68,32,0,32,0,0,19,32,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2022,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2022,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2021,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,1,0,0,0,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2018,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,NULL,NULL,NULL,0,3,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2022,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2021,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,3,0,0,2,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2022,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,0,0,0,0,0,1,0,No,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,NULL,NULL,NULL,0,3,0,0,2,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2022,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,9,0,0,6,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2021,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,2,0,0,2,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,4,0,0,3,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2017,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,NULL,NULL,NULL,0,18,0,0,11,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,50,21,19,0,19,0,0,0,19,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2021,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,6,0,0,3,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2020,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,15,0,0,7,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2018,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,23,0,0,9,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,NULL,NULL,NULL,0,1,0,0,1,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2017,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,NULL,NULL,NULL,0,95,0,0,53,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2018,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,3,0,0,0,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2017,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,NULL,NULL,NULL,0,23,0,0,14,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2016,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,49,27,23,0,23,0,0,0,23,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2019,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,15,0,0,10,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2018,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,NULL,NULL,NULL,0,91,0,0,29,0,1,0,Si,NULL,NULL
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,septiembre 2016,2016,2016,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,160,120,103,0,103,0,0,0,103,1,0,Si,NULL,NULL
